replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored
88,0.010496344242183403,0.00021529088674129837,0.010880494379066394,0.00016885925014169245,0.031343153008311475,0.0,0.031343153008311475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
89,0.014615371237947303,0.016117042133134196,0.03336525378741591,0.002632840416334409,0.07636790402472693,0.0,0.07636790402472693,0.0,0.0,150.0,160.0,10.0,0.0,150.0,160.0,10.0,0.0,0.0,0.0,0.0,False
90,0.009299953604697694,0.0018723025564390955,0.011928481367125293,0.0007562252059885033,0.026339950631310893,0.0,0.026339950631310893,0.0,10.0,30.0,40.0,0.0,10.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,False
91,0.01947132085988529,4.1717039586885996e-05,0.01954782458151169,3.478668203951707e-05,0.04925703858602837,0.0,0.04925703858602837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
92,0.007046612924986803,0.0,0.007046612924986803,0.0,0.06083505713693682,0.0,0.06083505713693682,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,False
93,0.014372179647909808,0.015477077527445995,0.0320638260866523,0.0022145689112964967,0.07752939386031588,0.0,0.07752939386031588,0.0,0.0,130.0,130.0,0.0,0.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0,False
94,0.006700147583377697,0.0013482256556604094,0.008451390023904604,0.0004030167848664973,0.043018503282142295,0.0,0.043018503282142295,0.0,0.0,10.0,20.0,10.0,0.0,10.0,20.0,10.0,0.0,0.0,0.0,0.0,False
95,0.015043217538787207,0.00044733705804531065,0.015859050185636298,0.00036849558880377997,0.07739968231830496,0.0,0.07739968231830496,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,False
96,0.021076526272555893,0.0012287108118884948,0.02282068578547529,0.0005154487010309017,0.06467268868932918,0.0,0.06467268868932918,0.0,0.0,10.0,20.0,10.0,0.0,10.0,20.0,10.0,0.0,0.0,0.0,0.0,False
97,0.014314650616392699,0.0,0.014314650616392699,0.0,0.2527888962133219,0.0,0.2527888962133219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
98,0.024187729687382586,0.004808694497170696,0.03036201003931388,0.0013655858547605981,0.06377528447907654,0.0,0.06377528447907654,0.0,0.0,50.0,50.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,False
99,0.005378880333591102,0.003916182586144706,0.010015823097564408,0.0007207601778285999,0.002257472608165889,0.0,0.002257472608165889,0.0,0.0,40.0,40.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,False
100,0.01843312194381569,2.0120481927801692e-05,0.018535559419947112,8.231699420362115e-05,0.03394073124798347,0.0,0.03394073124798347,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,False
101,0.012110858788277806,0.00241254945596861,0.015419024832428518,0.0008956165881821021,0.018750563471858994,0.0,0.018750563471858994,0.0,0.0,20.0,30.0,10.0,0.0,20.0,30.0,10.0,0.0,0.0,0.0,0.0,False
