R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,q_prop,kappa_prop,q_rec,kappa_rec,replication,psi_prop,psi_rec
0.8996115626100278,0.10038843738997216,0.5710249999999999,0.42897500000000005,56.0,252.0,False,876.0,0.0,1.0,11,operational,0.4,0.6,0.4,0.6,1,0.24,0.24
0.9191608333333334,0.08083916666666657,0.5199999999999999,0.4800000000000001,44.0,230.0,False,876.0,0.0,1.0,00,operational,0.4,0.8,0.4,0.8,1,0.32000000000000006,0.32000000000000006
0.9074843510802468,0.09251564891975317,0.5922,0.40780000000000005,53.0,230.0,False,876.0,0.0,1.0,10,operational,0.4,0.8,0.4,0.8,1,0.32000000000000006,0.32000000000000006
0.907592915812714,0.09240708418728605,0.5199999999999999,0.4800000000000001,44.0,255.0,False,876.0,0.0,1.0,01,operational,0.4,0.8,0.4,0.8,1,0.32000000000000006,0.32000000000000006
0.8639356926412468,0.1360643073587532,0.5922,0.40780000000000005,53.0,,True,876.0,1.0,0.9550000000000001,11,operational,0.4,0.8,0.4,0.8,1,0.32000000000000006,0.32000000000000006
0.9191608333333334,0.08083916666666657,0.5199999999999999,0.4800000000000001,44.0,230.0,False,876.0,0.0,1.0,00,operational,0.4,1.0,0.4,1.0,1,0.4,0.4
0.9042568537808642,0.09574314621913582,0.6124375,0.38756250000000003,56.0,230.0,False,876.0,0.0,1.0,10,operational,0.4,1.0,0.4,1.0,1,0.4,0.4
0.9071150806327161,0.09288491936728394,0.5199999999999999,0.4800000000000001,44.0,261.0,False,876.0,0.0,1.0,01,operational,0.4,1.0,0.4,1.0,1,0.4,0.4
0.8062195968943764,0.1937804031056236,0.6124375,0.38756250000000003,56.0,,True,876.0,1.0,0.8800000000000001,11,operational,0.4,1.0,0.4,1.0,1,0.4,0.4
0.9191608333333334,0.08083916666666657,0.5199999999999999,0.4800000000000001,44.0,230.0,False,876.0,0.0,1.0,00,operational,0.6,0.2,0.6,0.2,1,0.12,0.12
0.9172168289583333,0.08278317104166666,0.5199999999999999,0.4800000000000001,44.0,230.0,False,876.0,0.0,1.0,10,operational,0.6,0.2,0.6,0.2,1,0.12,0.12
0.9178241020617284,0.08217589793827162,0.5199999999999999,0.4800000000000001,44.0,233.0,False,876.0,0.0,1.0,01,operational,0.6,0.2,0.6,0.2,1,0.12,0.12
0.9155678491118678,0.08443215088813216,0.5199999999999999,0.4800000000000001,44.0,234.0,False,876.0,0.0,1.0,11,operational,0.6,0.2,0.6,0.2,1,0.12,0.12
0.9191608333333334,0.08083916666666657,0.5199999999999999,0.4800000000000001,44.0,230.0,False,876.0,0.0,1.0,00,operational,0.6,0.4,0.6,0.4,1,0.24,0.24
0.9140391926388889,0.08596080736111111,0.5330374999999999,0.46696250000000006,56.0,230.0,False,876.0,0.0,1.0,10,operational,0.6,0.4,0.6,0.4,1,0.24,0.24
0.9162246695253998,0.08377533047460017,0.5199999999999999,0.4800000000000001,44.0,237.0,False,876.0,0.0,1.0,01,operational,0.6,0.4,0.6,0.4,1,0.24,0.24
0.909583041132594,0.09041695886740597,0.5330374999999999,0.46696250000000006,56.0,240.0,False,876.0,0.0,1.0,11,operational,0.6,0.4,0.6,0.4,1,0.24,0.24
