replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored
95,0.007421000701003988,0.07405050097532578,0.03732809691698741,-0.044143404759342364,0.003878779729506121,0.0,0.003878779729506121,0.0,0.0,1740.0,1560.0,-180.0,0.0,1740.0,1560.0,-180.0,0.0,0.0,0.0,0.0,False
96,0.013195351174431297,0.05485282190905871,0.046597490003508796,-0.021450683079981214,0.07882735116952477,0.0,0.07882735116952477,0.0,0.0,910.0,910.0,0.0,0.0,910.0,910.0,0.0,0.0,0.0,0.0,0.0,False
97,0.004445522535430388,0.006331460281763998,0.008714163194930194,-0.002062819622264192,0.02660206041417712,0.0,0.02660206041417712,0.0,0.0,360.0,360.0,0.0,0.0,360.0,360.0,0.0,0.0,0.0,0.0,0.0,False
98,0.004564185230390198,0.006801294905074605,0.011903510469366399,0.0005380303339015957,0.022302692584128148,0.0,0.022302692584128148,0.0,0.0,190.0,260.0,70.0,0.0,190.0,260.0,70.0,0.0,0.0,0.0,0.0,False
99,0.013393688178629487,0.011596159815634388,0.027538352343116496,0.0025485043488526204,0.05536559600054003,0.0,0.05536559600054003,0.0,0.0,490.0,520.0,30.0,0.0,490.0,520.0,30.0,0.0,0.0,0.0,0.0,False
100,0.009075680956948107,0.005272187910998899,0.12472061805641341,0.1103727491884664,0.0647814865773807,0.0,0.0647814865773807,0.0,0.0,540.0,,,0.0,540.0,4250.0,3710.0,0.0,0.0,1.0,1.0,True
101,0.006501217979718699,0.004247479667405005,0.014350857001647996,0.0036021593545242925,0.05227724490092289,0.0,0.05227724490092289,0.0,0.0,180.0,190.0,10.0,0.0,180.0,190.0,10.0,0.0,0.0,0.0,0.0,False
102,0.0076313572217898695,0.024671943022420595,0.05169941962870467,0.019396119384494204,0.01304982474732963,-2.0095036745715333e-14,0.013049824747442207,1.326716514427062e-13,0.0,1180.0,,,0.0,1180.0,2240.0,1060.0,0.0,0.0,1.0,1.0,True
103,0.0042844722219883,0.011923476451352798,0.0654811110766425,0.04927316240330141,0.034891653224775165,0.0,0.034891653224775165,0.0,0.0,370.0,,,0.0,370.0,5220.0,4850.0,0.0,0.0,1.0,1.0,True
104,0.005081905628913405,0.0087408882471562,0.010125367980147112,-0.003697425895922493,0.03335007429473147,0.0,0.03335007429473147,0.0,0.0,630.0,600.0,-30.0,0.0,630.0,600.0,-30.0,0.0,0.0,0.0,0.0,False
105,0.007763613101669509,0.07447438532757972,0.5647323771392891,0.4824943787100399,0.00983974154252043,0.0,0.00983974154252043,0.0,0.0,,,,0.0,1810.0,1810.0,0.0,0.0,1.0,1.0,0.0,True
106,0.007066673888070807,0.006536647991898098,0.019139674544654095,0.00553635266468519,0.015383834215940695,0.0,0.015383834215940695,0.0,0.0,540.0,680.0,140.0,0.0,540.0,680.0,140.0,0.0,0.0,0.0,0.0,False
